#node1|node2|node1_string_id|node2_string_id|neighborhood_on_chromosome|gene_fusion|phylogenetic_cooccurrence|homology|coexpression|experimentally_determined_interaction|database_annotated|automated_textmining|combined_score
CCNB1|PTGS2|9606.ENSP00000256442|9606.ENSP00000356438|0|0|0|0|0.067|0|0|0.396|0.412
CCNB1|RPRM|9606.ENSP00000256442|9606.ENSP00000314946|0|0|0|0|0.055|0|0|0.748|0.751
CCNB1|TP53|9606.ENSP00000256442|9606.ENSP00000269305|0|0|0|0|0.095|0.053|0|0.908|0.914
CCNB1|GADD45A|9606.ENSP00000256442|9606.ENSP00000360025|0|0|0|0|0|0.292|0.900|0.782|0.983
CLEC17A|RPRM|9606.ENSP00000393719|9606.ENSP00000314946|0|0|0|0|0|0.488|0|0|0.487
GADD45A|TP53|9606.ENSP00000360025|9606.ENSP00000269305|0|0|0|0|0|0.069|0.900|0.913|0.991
GADD45A|RPRM|9606.ENSP00000360025|9606.ENSP00000314946|0|0|0|0|0|0|0|0.431|0.431
MS4A4A|RPRM|9606.ENSP00000338648|9606.ENSP00000314946|0|0|0|0|0|0.488|0|0|0.487
MS4A4A|PTGS2|9606.ENSP00000338648|9606.ENSP00000356438|0|0|0|0|0.077|0|0|0.411|0.434
NPB|RPRM|9606.ENSP00000332766|9606.ENSP00000314946|0|0|0|0|0|0|0|0.407|0.407
NPB|NPBWR2|9606.ENSP00000332766|9606.ENSP00000358783|0|0|0|0|0.048|0|0.900|0.997|0.999
NPBWR2|RPRM|9606.ENSP00000358783|9606.ENSP00000314946|0|0|0|0|0|0|0|0.458|0.458
PTGS2|TP53|9606.ENSP00000356438|9606.ENSP00000269305|0|0|0|0|0|0.820|0|0.866|0.974
PTGS2|RPRM|9606.ENSP00000356438|9606.ENSP00000314946|0|0|0|0|0.042|0|0|0.457|0.457
RASSF1|TP53|9606.ENSP00000349547|9606.ENSP00000269305|0|0|0|0|0|0|0|0.620|0.620
RASSF1|RPRM|9606.ENSP00000349547|9606.ENSP00000314946|0|0|0|0|0|0|0|0.401|0.400
RPRM|TP53|9606.ENSP00000314946|9606.ENSP00000269305|0|0|0|0|0|0|0|0.617|0.617
RPRM|TMEM74|9606.ENSP00000314946|9606.ENSP00000297459|0|0|0|0|0.074|0|0|0.395|0.416
