#node1|node2|node1_string_id|node2_string_id|neighborhood_on_chromosome|gene_fusion|phylogenetic_cooccurrence|homology|coexpression|experimentally_determined_interaction|database_annotated|automated_textmining|combined_score
ATM|SIRT1|9606.ENSP00000278616|9606.ENSP00000212015|0|0|0|0|0.049|0|0|0.855|0.856
ATM|RNF40|9606.ENSP00000278616|9606.ENSP00000325677|0|0|0|0|0.044|0.292|0|0.605|0.709
ATM|CCAR2|9606.ENSP00000278616|9606.ENSP00000310670|0|0|0|0|0.042|0|0.750|0.324|0.823
ATM|ATR|9606.ENSP00000278616|9606.ENSP00000343741|0|0|0|0.564|0.213|0.974|0.900|0.745|0.999
ATR|SIRT1|9606.ENSP00000343741|9606.ENSP00000212015|0|0|0|0|0.129|0.095|0|0.406|0.491
ATR|ATM|9606.ENSP00000343741|9606.ENSP00000278616|0|0|0|0.564|0.213|0.974|0.900|0.745|0.999
ATR|CCAR2|9606.ENSP00000343741|9606.ENSP00000310670|0|0|0|0|0.058|0|0.750|0.176|0.789
CCAR2|SIRT1|9606.ENSP00000310670|9606.ENSP00000212015|0|0|0|0|0.049|0.830|0.900|0.977|0.999
CCAR2|ATM|9606.ENSP00000310670|9606.ENSP00000278616|0|0|0|0|0.042|0|0.750|0.324|0.823
CCAR2|RNF40|9606.ENSP00000310670|9606.ENSP00000325677|0|0|0|0|0.784|0|0|0|0.784
CCAR2|RPS19BP1|9606.ENSP00000310670|9606.ENSP00000333948|0|0|0|0|0.097|0|0|0.771|0.784
CCAR2|ATR|9606.ENSP00000310670|9606.ENSP00000343741|0|0|0|0|0.058|0|0.750|0.176|0.789
CCAR2|HAO1|9606.ENSP00000310670|9606.ENSP00000368066|0|0|0|0|0|0.835|0|0|0.835
CCAR2|EDC4|9606.ENSP00000310670|9606.ENSP00000351811|0|0|0|0|0.851|0|0|0|0.851
CCAR2|RANBP3|9606.ENSP00000310670|9606.ENSP00000341483|0|0|0|0|0.925|0|0|0|0.925
CCAR2|ZNF326|9606.ENSP00000310670|9606.ENSP00000340796|0|0|0|0|0.067|0|0.900|0.808|0.980
CCAR2|HSPA8|9606.ENSP00000310670|9606.ENSP00000437125|0|0|0|0|0.058|0.994|0.500|0.055|0.996
EDC4|CCAR2|9606.ENSP00000351811|9606.ENSP00000310670|0|0|0|0|0.851|0|0|0|0.851
EDC4|RNF40|9606.ENSP00000351811|9606.ENSP00000325677|0|0|0|0|0.790|0|0|0|0.790
EDC4|RANBP3|9606.ENSP00000351811|9606.ENSP00000341483|0|0|0|0|0.565|0|0|0|0.565
HAO1|CCAR2|9606.ENSP00000368066|9606.ENSP00000310670|0|0|0|0|0|0.835|0|0|0.835
HSPA8|SIRT1|9606.ENSP00000437125|9606.ENSP00000212015|0|0|0|0|0|0.074|0.500|0.342|0.669
HSPA8|CCAR2|9606.ENSP00000437125|9606.ENSP00000310670|0|0|0|0|0.058|0.994|0.500|0.055|0.996
HSPA8|RPS19BP1|9606.ENSP00000437125|9606.ENSP00000333948|0|0|0|0|0.067|0|0.400|0|0.416
RANBP3|CCAR2|9606.ENSP00000341483|9606.ENSP00000310670|0|0|0|0|0.925|0|0|0|0.925
RANBP3|EDC4|9606.ENSP00000341483|9606.ENSP00000351811|0|0|0|0|0.565|0|0|0|0.565
RNF40|ATM|9606.ENSP00000325677|9606.ENSP00000278616|0|0|0|0|0.044|0.292|0|0.605|0.709
RNF40|CCAR2|9606.ENSP00000325677|9606.ENSP00000310670|0|0|0|0|0.784|0|0|0|0.784
RNF40|EDC4|9606.ENSP00000325677|9606.ENSP00000351811|0|0|0|0|0.790|0|0|0|0.790
RPS19BP1|SIRT1|9606.ENSP00000333948|9606.ENSP00000212015|0|0|0|0|0|0.776|0.400|0.792|0.969
RPS19BP1|CCAR2|9606.ENSP00000333948|9606.ENSP00000310670|0|0|0|0|0.097|0|0|0.771|0.784
RPS19BP1|HSPA8|9606.ENSP00000333948|9606.ENSP00000437125|0|0|0|0|0.067|0|0.400|0|0.416
SIRT1|ATR|9606.ENSP00000212015|9606.ENSP00000343741|0|0|0|0|0.129|0.095|0|0.406|0.491
SIRT1|HSPA8|9606.ENSP00000212015|9606.ENSP00000437125|0|0|0|0|0|0.074|0.500|0.342|0.669
SIRT1|ATM|9606.ENSP00000212015|9606.ENSP00000278616|0|0|0|0|0.049|0|0|0.855|0.856
SIRT1|RPS19BP1|9606.ENSP00000212015|9606.ENSP00000333948|0|0|0|0|0|0.776|0.400|0.792|0.969
SIRT1|CCAR2|9606.ENSP00000212015|9606.ENSP00000310670|0|0|0|0|0.049|0.830|0.900|0.977|0.999
ZNF326|CCAR2|9606.ENSP00000340796|9606.ENSP00000310670|0|0|0|0|0.067|0|0.900|0.808|0.980
