#node1|node2|node1_string_id|node2_string_id|neighborhood_on_chromosome|gene_fusion|phylogenetic_cooccurrence|homology|coexpression|experimentally_determined_interaction|database_annotated|automated_textmining|combined_score
AEN|EI24|9606.ENSP00000331944|9606.ENSP00000278903|0|0|0|0|0.049|0|0|0.444|0.448
AEN|CCNG1|9606.ENSP00000331944|9606.ENSP00000344635|0|0|0|0|0.067|0.047|0|0.463|0.481
BCL2L1|TP53|9606.ENSP00000365230|9606.ENSP00000269305|0|0|0|0|0.074|0.986|0|0.998|0.999
BCL2L1|EI24|9606.ENSP00000365230|9606.ENSP00000278903|0|0|0|0|0|0|0|0.540|0.540
BCL2L1|TCHP|9606.ENSP00000365230|9606.ENSP00000324404|0|0|0|0|0|0|0|0.707|0.707
CCNG1|TP53|9606.ENSP00000344635|9606.ENSP00000269305|0|0|0|0|0.117|0.525|0.750|0.983|0.998
CCNG1|EI24|9606.ENSP00000344635|9606.ENSP00000278903|0|0|0|0|0.117|0|0|0.397|0.445
CCNG1|PERP|9606.ENSP00000344635|9606.ENSP00000397157|0|0|0|0|0.049|0|0|0.431|0.436
EI24|TP53I3|9606.ENSP00000278903|9606.ENSP00000238721|0|0|0|0|0.049|0|0.900|0.303|0.927
EI24|VMP1|9606.ENSP00000278903|9606.ENSP00000262291|0|0|0|0|0|0|0|0.666|0.666
EI24|TP53|9606.ENSP00000278903|9606.ENSP00000269305|0|0|0|0|0.044|0|0|0.568|0.569
EI24|GARNL3|9606.ENSP00000278903|9606.ENSP00000362485|0|0|0|0|0|0|0|0.443|0.443
EI24|PERP|9606.ENSP00000278903|9606.ENSP00000397157|0|0|0|0|0.072|0|0|0.430|0.449
EI24|TCHP|9606.ENSP00000278903|9606.ENSP00000324404|0|0|0|0|0.087|0|0|0.519|0.542
EI24|EPG5|9606.ENSP00000278903|9606.ENSP00000282041|0|0|0|0|0|0|0|0.732|0.732
EPG5|VMP1|9606.ENSP00000282041|9606.ENSP00000262291|0|0|0|0|0.049|0|0|0.664|0.667
PERP|TP53|9606.ENSP00000397157|9606.ENSP00000269305|0|0|0|0|0|0.095|0.750|0.710|0.928
TCHP|TP53I3|9606.ENSP00000324404|9606.ENSP00000238721|0|0|0|0|0.053|0|0|0.557|0.562
TCHP|TP53|9606.ENSP00000324404|9606.ENSP00000269305|0|0|0|0|0.044|0|0|0.946|0.946
TP53|TP53I3|9606.ENSP00000269305|9606.ENSP00000238721|0|0|0|0|0.049|0.510|0.500|0.635|0.903
