#node1|node2|node1_string_id|node2_string_id|neighborhood_on_chromosome|gene_fusion|phylogenetic_cooccurrence|homology|coexpression|experimentally_determined_interaction|database_annotated|automated_textmining|combined_score
BMI1|TP53|9606.ENSP00000365851|9606.ENSP00000269305|0|0|0|0|0|0.625|0.500|0.787|0.956
BMI1|E4F1|9606.ENSP00000365851|9606.ENSP00000301727|0|0|0|0|0.042|0.045|0|0.720|0.721
BMI1|RASSF1|9606.ENSP00000365851|9606.ENSP00000349547|0|0|0|0|0.044|0|0|0.480|0.481
BMI1|CDKN2A|9606.ENSP00000365851|9606.ENSP00000418915|0|0|0|0|0|0|0.500|0.835|0.913
BMI1|COMMD3-BMI1|9606.ENSP00000365851|9606.ENSP00000473391|0|0|0.047|0.987|0.062|0.800|0.900|0.042|0.979
BRAT1|TELO2|9606.ENSP00000339637|9606.ENSP00000262319|0|0|0|0|0.641|0|0|0|0.641
BRAT1|LRRC14|9606.ENSP00000339637|9606.ENSP00000292524|0|0|0|0|0.618|0|0|0|0.618
BRAT1|E4F1|9606.ENSP00000339637|9606.ENSP00000301727|0|0|0|0|0.782|0|0|0|0.782
CDKN2A|TP53|9606.ENSP00000418915|9606.ENSP00000269305|0|0|0|0|0|0.874|0.900|0.970|0.999
CDKN2A|E4F1|9606.ENSP00000418915|9606.ENSP00000301727|0|0|0|0|0|0.328|0|0.703|0.792
CDKN2A|RASSF1|9606.ENSP00000418915|9606.ENSP00000349547|0|0|0|0|0|0.173|0|0.878|0.894
CDKN2A|COMMD3-BMI1|9606.ENSP00000418915|9606.ENSP00000473391|0|0|0|0|0|0|0|0.835|0.835
COMMD3-BMI1|TP53|9606.ENSP00000473391|9606.ENSP00000269305|0|0|0|0|0|0|0|0.787|0.787
COMMD3-BMI1|E4F1|9606.ENSP00000473391|9606.ENSP00000301727|0|0|0|0|0|0.045|0|0.716|0.717
COMMD3-BMI1|RASSF1|9606.ENSP00000473391|9606.ENSP00000349547|0|0|0|0|0|0|0|0.479|0.479
E4F1|TELO2|9606.ENSP00000301727|9606.ENSP00000262319|0|0|0|0|0.724|0.046|0|0.125|0.749
E4F1|TP53|9606.ENSP00000301727|9606.ENSP00000269305|0|0|0|0|0.057|0.626|0|0.921|0.969
E4F1|LRRC14|9606.ENSP00000301727|9606.ENSP00000292524|0|0|0|0|0.746|0|0|0.044|0.746
E4F1|WDR24|9606.ENSP00000301727|9606.ENSP00000293883|0|0|0|0|0.787|0|0|0|0.787
E4F1|ZGPAT|9606.ENSP00000301727|9606.ENSP00000332013|0|0|0|0|0.783|0|0|0|0.783
E4F1|RASSF1|9606.ENSP00000301727|9606.ENSP00000349547|0|0|0|0|0.058|0.292|0|0.842|0.885
LRRC14|TELO2|9606.ENSP00000292524|9606.ENSP00000262319|0|0|0|0|0.455|0|0|0|0.455
LRRC14|WDR24|9606.ENSP00000292524|9606.ENSP00000293883|0|0|0|0|0.465|0|0|0|0.465
RASSF1|TP53|9606.ENSP00000349547|9606.ENSP00000269305|0|0|0|0|0|0|0|0.620|0.620
TELO2|WDR24|9606.ENSP00000262319|9606.ENSP00000293883|0|0|0|0|0.631|0|0|0.161|0.678
