#node1|node2|node1_string_id|node2_string_id|neighborhood_on_chromosome|gene_fusion|phylogenetic_cooccurrence|homology|coexpression|experimentally_determined_interaction|database_annotated|automated_textmining|combined_score
HIF1AN|PPP1R13B|9606.ENSP00000299163|9606.ENSP00000202556|0|0|0|0|0.056|0.900|0|0|0.901
HIF1AN|TP53BP2|9606.ENSP00000299163|9606.ENSP00000341957|0|0|0|0|0|0.926|0|0.159|0.935
LATS2|PPP1R13B|9606.ENSP00000372035|9606.ENSP00000202556|0|0|0|0|0|0.517|0|0.378|0.687
LATS2|TP53|9606.ENSP00000372035|9606.ENSP00000269305|0|0|0|0|0|0.179|0|0.695|0.738
PPP1CA|PPP1R13B|9606.ENSP00000326031|9606.ENSP00000202556|0|0|0|0|0.045|0.859|0|0.576|0.938
PPP1CA|RASSF8|9606.ENSP00000326031|9606.ENSP00000384491|0|0|0|0|0|0.630|0|0.101|0.654
PPP1CA|RASSF7|9606.ENSP00000326031|9606.ENSP00000380713|0|0|0|0|0.062|0.634|0|0.102|0.665
PPP1CA|TP53BP2|9606.ENSP00000326031|9606.ENSP00000341957|0|0|0|0|0.045|0.856|0.800|0.499|0.984
PPP1CA|PPP1CB|9606.ENSP00000326031|9606.ENSP00000378769|0|0|0.049|0.983|0.091|0.875|0.900|0.812|0.997
PPP1CA|PPP1CC|9606.ENSP00000326031|9606.ENSP00000341779|0|0|0.049|0.982|0.063|0.877|0.900|0.853|0.998
PPP1CB|PPP1R13B|9606.ENSP00000378769|9606.ENSP00000202556|0|0|0|0|0.045|0.664|0|0.250|0.738
PPP1CB|PPP1CC|9606.ENSP00000378769|9606.ENSP00000341779|0|0|0.049|0.983|0.106|0.874|0.900|0.783|0.997
PPP1CB|TP53BP2|9606.ENSP00000378769|9606.ENSP00000341957|0|0|0|0|0.070|0.518|0.800|0.578|0.957
PPP1CC|PPP1R13B|9606.ENSP00000341779|9606.ENSP00000202556|0|0|0|0|0.045|0.832|0|0.252|0.870
PPP1CC|TP53|9606.ENSP00000341779|9606.ENSP00000269305|0|0|0|0|0|0.292|0|0.232|0.433
PPP1CC|RASSF8|9606.ENSP00000341779|9606.ENSP00000384491|0|0|0|0|0|0.380|0|0.080|0.406
PPP1CC|RASSF7|9606.ENSP00000341779|9606.ENSP00000380713|0|0|0|0|0|0.615|0|0.080|0.631
PPP1CC|TP53BP2|9606.ENSP00000341779|9606.ENSP00000341957|0|0|0|0|0.058|0.839|0.800|0.248|0.974
PPP1R13B|TP53BP2|9606.ENSP00000202556|9606.ENSP00000341957|0|0|0.072|0.922|0|0|0.500|0.458|0.726
PPP1R13B|TP73|9606.ENSP00000202556|9606.ENSP00000367545|0|0|0|0|0|0.292|0.500|0.293|0.728
PPP1R13B|RASSF7|9606.ENSP00000202556|9606.ENSP00000380713|0|0|0|0|0.084|0.779|0|0.634|0.919
PPP1R13B|RASSF8|9606.ENSP00000202556|9606.ENSP00000384491|0|0|0|0|0|0.843|0|0.537|0.924
PPP1R13B|TP53|9606.ENSP00000202556|9606.ENSP00000269305|0|0|0|0|0|0.594|0.500|0.937|0.986
RASSF7|TP53BP2|9606.ENSP00000380713|9606.ENSP00000341957|0|0|0|0|0|0.801|0|0.611|0.919
RASSF8|TP53BP2|9606.ENSP00000384491|9606.ENSP00000341957|0|0|0|0|0|0.857|0|0.623|0.944
TP53|TP73|9606.ENSP00000269305|9606.ENSP00000367545|0|0|0.068|0.876|0|0.789|0.900|0.335|0.985
TP53|TP53BP2|9606.ENSP00000269305|9606.ENSP00000341957|0|0|0|0|0|0.988|0.500|0.996|0.999
TP53BP2|TP73|9606.ENSP00000341957|9606.ENSP00000367545|0|0|0|0|0|0.920|0.500|0.340|0.971
